year,all,percent_pev,type,sales
2024,27.563,0.4665674999092987,BEV,7.719
2024,27.563,0.4665674999092987,PHEV,5.141
2024,27.563,0.4665674999092987,ICEV,14.703
2023,26.063,0.36407934619959326,BEV,6.685
2023,26.063,0.36407934619959326,PHEV,2.804
2023,26.063,0.36407934619959326,ICEV,16.573999999999998
2022,23.563,0.29211051224377205,BEV,5.365
2022,23.563,0.29211051224377205,PHEV,1.518
2022,23.563,0.29211051224377205,ICEV,16.68
2021,21.482,0.1638115631691649,BEV,2.916
2021,21.482,0.1638115631691649,PHEV,0.603
2021,21.482,0.1638115631691649,ICEV,17.963
2020,20.178,0.06769749231836654,BEV,1.115
2020,20.178,0.06769749231836654,PHEV,0.251
2020,20.178,0.06769749231836654,ICEV,18.812
2019,21.444,0.05614624137287819,BEV,0.972
2019,21.444,0.05614624137287819,PHEV,0.232
2019,21.444,0.05614624137287819,ICEV,20.24
2018,23.71,0.044411640657950224,BEV,0.788
2018,23.71,0.044411640657950224,PHEV,0.265
2018,23.71,0.044411640657950224,ICEV,22.657
2017,24.718,0.023424225260943444,BEV,0.468
2017,24.718,0.023424225260943444,PHEV,0.111
2017,24.718,0.023424225260943444,ICEV,24.139
2016,24.377,0.020798293473356034,BEV,0.409
2016,24.377,0.020798293473356034,PHEV,0.098
2016,24.377,0.020798293473356034,ICEV,23.869999999999997
